,n,xray_native_5_0+xray_native_5_1_mean,xray_native_5_0+xray_native_5_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_5_0+xray_native_5_1_50,xray_native_5_0+xray_native_5_1_25,xray_native_5_0+xray_native_5_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
64,65,8.808914537921833,0.10052224751386755,15370.669567151037,3156.3590089162058,,,8.808504270424075,8.718193544813616,8.889147442874634,15073.268045959308,13443.054308573588,16695.111436768282,,,
65,66,8.806397808556754,0.10073273949704793,15340.451269004343,3115.113567014432,,,8.808504270424075,8.718193544813616,8.889147442874634,15073.268045959308,13443.054308573588,16695.111436768282,,,
66,67,8.804796861892125,0.1006228344791366,15287.359736414772,3103.2028923136577,,,8.808504270424075,8.718193544813616,8.886808928623221,15073.268045959308,13443.054308573588,16647.06428802483,,,
67,68,8.803901599700826,0.10045235449622578,15288.487425862993,3098.262979735437,,,8.808504270424075,8.718193544813616,8.886808928623221,15073.268045959308,13443.054308573588,16647.06428802483,,,
68,69,8.801966441982357,0.0998982551952942,15260.759404873997,3053.484163566861,,,8.808504270424075,8.718193544813616,8.879951970832227,14966.151899135813,13443.054308573588,16647.06428802483,,,
69,70,8.80104849248828,0.09954665161201061,15229.808148985727,3016.5513523649847,,,8.808504270424075,8.718193544813616,8.879951970832227,14966.151899135813,13443.054308573588,16647.06428802483,,,
70,71,8.799446989534516,0.09913391072224939,15154.310245600125,2900.0616480445087,,,8.801239225565407,8.718193544813616,8.879951970832227,14368.512020739172,13443.054308573588,16641.6010138499,,,
71,72,8.797283983919195,0.09876648266390772,15127.705128917996,2879.484753239036,,,8.801239225565407,8.718193544813616,8.879350038772515,14368.512020739172,13443.054308573588,16641.6010138499,,,
72,73,8.796174549830438,0.09841550349113591,15085.63181154872,2802.0872531241107,,,8.801239225565407,8.718193544813616,8.879350038772515,14368.512020739172,13443.054308573588,16641.6010138499,,,
73,74,8.794960115019014,0.09791714169708648,15081.698089692229,2818.276462402127,,,8.801239225565407,8.713074607234553,8.8726285598189,14222.810595593714,13443.054308573588,16641.6010138499,,,
74,75,8.7933093030051,0.09699919693666577,15071.883005945176,2792.7710525931675,,,8.801239225565407,8.713074607234553,8.870388066834362,14295.661308166444,13443.054308573588,16641.6010138499,,,
75,76,8.792232775972494,0.09684062345784507,15078.401232710281,2783.311194035723,,,8.801239225565407,8.713074607234553,8.870388066834362,14295.661308166444,13443.054308573588,16641.6010138499,,,
