,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0,r_free_7mhm,r_work_7mhm,cif_1,w_1_7mhl,w_2_7mhl,w_3_7mhl,w_4_7mhl,w_5_7mhl,w_6_7mhl,w_7_7mhl
41,2.0,2.0,8.0,0.2599002287679611,0.5,0.2546002729400652,161397.17744605968,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/41/output_23/pdbs/11.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1771334262094006,0.1362631644738166,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
42,2.0,2.0,16.0,0.258915185857791,0.5,0.2567739144754966,229051.42812472983,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/42/output_23/pdbs/20.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1699243670898764,0.1308870696200668,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
43,2.0,2.0,32.0,0.266575015043734,0.5,0.2588358229083736,263395.812653165,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/43/output_19/pdbs/62.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1832934919059636,0.1341021754471587,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
44,4.0,1.0,0.03125,0.3116664153271027,0.25,0.3169370488616582,6103.2439512062665,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/44/output_8/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
45,4.0,1.0,0.0625,0.3049142367675755,0.25,0.3064224603540122,7267.533024304495,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/45/output_19/pdbs/5.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
46,4.0,1.0,0.125,0.2647907864847844,0.25,0.2619665269213039,7564.088265162611,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/46/output_23/pdbs/12.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
47,4.0,1.0,0.25,0.2310449294146057,0.25,0.225110079343796,8095.344226755558,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/47/output_12/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
48,4.0,1.0,0.5,0.2144300199173613,0.25,0.2050064574755943,9825.907740987972,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/48/output_3/pdbs/11.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
49,4.0,1.0,1.0,0.2070888199205206,0.25,0.1916524887901185,17563.510248099275,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/49/output_3/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
50,4.0,1.0,2.0,0.2070295445060064,0.25,0.1797824706212559,115930.00140065684,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/50/output_3/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
51,4.0,1.0,4.0,0.2158498029367543,0.25,0.1823069369676092,363257.4787949136,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/51/output_13/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
52,4.0,1.0,8.0,0.2286913461940988,0.25,0.1854747842937547,571424.900468972,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/52/output_2/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
53,4.0,1.0,16.0,0.2336340750671793,0.25,0.1888903343351938,724561.5332578279,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/53/output_6/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
54,4.0,1.0,32.0,0.2342719086101093,0.25,0.1913028960193837,824045.6550116314,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/54/output_9/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.25,0.25,0.25,,,,
55,4.0,2.0,0.03125,0.3064325094067143,0.25,0.3106123528968172,6679.173960338471,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/55/output_11/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.3271347509388377,0.3302686303669719,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
56,4.0,2.0,0.0625,0.2799736047504469,0.25,0.2820967534006288,7270.889762299692,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/56/output_3/pdbs/6.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2940466105969789,0.2909749371555049,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
57,4.0,2.0,0.125,0.2590145996490404,0.25,0.2533785306400875,7827.604491433749,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/57/output_0/pdbs/17.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2505741723053654,0.2476404446653956,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
58,4.0,2.0,0.25,0.2381195161721096,0.25,0.2351721381887071,8395.585516759978,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/58/output_13/pdbs/9.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2362293176646063,0.2251245888116522,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
59,4.0,2.0,0.5,0.2301229052963773,0.25,0.2264677683172915,11284.99421048436,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/59/output_20/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2303413591958527,0.2171639727424724,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
60,4.0,2.0,1.0,0.2385232920940639,0.25,0.2305250349664631,29217.070940470385,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/60/output_7/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2196602031450066,0.2012425554376374,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
61,4.0,2.0,2.0,0.2639084911497702,0.25,0.2532695342187681,357833.41796270234,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/61/output_0/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2171013152086214,0.1792660778540837,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.25,0.25,0.25,,,,
