,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
44,2.0,1.0,0.25,0.1449461721632894,0.133012637673573,3.8565865377123534,0.1747823610069272,,,,,12522.418012296474,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/44/output_9/pdbs/499.pdb,0.5913240265312025,,0.4086759734687975,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
45,2.0,1.0,0.125,0.2050601148743814,0.1821689909561647,4.107344623679929,1.8704522019494985,,,,,31448.521774029505,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/45/output_7/pdbs/499.pdb,0.938236695538446,,0.0617633044615538,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
46,2.0,1.0,0.0625,0.2706919686988517,0.2418678197691708,4.421788831536799,2.6614210852621607,,,,,29954.550135590853,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/46/output_15/pdbs/499.pdb,0.0822640557309077,,0.9177359442690922,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
47,2.0,1.0,0.03125,0.5714346027461642,0.5227618537442653,5.104611543882537,14.659545359814024,,,,,64737.77291217979,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/47/output_10/pdbs/499.pdb,0.1674318290410683,,0.8325681709589317,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
48,2.0,1.0,1.0,,,,,0.1408519325303803,0.1234421427273541,3.761354406176393,0.2629096566528914,24903.43860071937,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/48/output_8/pdbs/499.pdb,,0.3133216081062506,,0.6866783918937494,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
49,2.0,1.0,0.5,,,,,0.1452210603077999,0.1328997433344864,3.875901464913286,0.2355088720558313,13096.30328463509,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/49/output_17/pdbs/499.pdb,,0.4101913131257747,,0.5898086868742253,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
50,2.0,1.0,0.25,,,,,0.126779717114848,0.1182586377320078,3.693931855814821,0.2395769375103945,13862.417208877205,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/50/output_17/pdbs/499.pdb,,0.4516795000361296,,0.5483204999638703,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
51,2.0,1.0,0.125,,,,,0.2003595228747061,0.1785634760188845,4.098732580549594,0.2868418235506925,29539.07806036714,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/51/output_19/pdbs/499.pdb,,0.0036225644484667,,0.9963774355515332,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
52,2.0,1.0,0.0625,,,,,0.2865357558541503,0.2510693086387641,4.502634315234618,1.589915487641462,45477.07568151628,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/52/output_15/pdbs/499.pdb,,0.9597162673850556,,0.0402837326149444,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
53,2.0,1.0,0.03125,,,,,0.5978592656081968,0.5494328271287329,5.157141469550424,13.031832457981684,58304.32873357679,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/53/output_5/pdbs/499.pdb,,0.5153901278200808,,0.4846098721799193,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
