,log_file,tot_min,tot_min_id,tot_mean,rmsd_min,rmsd_min_id,rmsd_mean,tot_min_rmsd,tot_min_rmsd_align
827,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_821/log.csv,159284.16286409466,4294,159841.8263302518,0.294941924854735,1036,0.3963700866929087,0.3948852668044914,0.30357634717321
828,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_826/log.csv,159708.10761859972,3304,159849.64718061624,0.3156664123648439,10472,0.3692059157970709,0.3615501634861801,0.2527510285680016
829,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_838/log.csv,159731.48530685116,9109,159870.22249486198,0.6589749150400649,7755,0.7216751452816134,0.7292463892888668,0.2516370950569038
830,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_905/log.csv,159416.97535036373,10359,159841.10804884523,0.2893990081590822,2554,0.36373877742716515,0.3843735415497962,0.3120387743935628
831,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_899/log.csv,159726.5920402456,15927,159869.90199338325,0.64490394649921,16708,0.723857360040912,0.7269732647315306,0.2517423455237055
832,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_910/log.csv,159710.60004591613,14221,159849.12440175944,0.2907486332152324,1006,0.36784951933705184,0.356347173689412,0.2491253131509331
833,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_860/log.csv,159703.42873738194,8858,159849.9329663511,0.2975415664596465,1785,0.36846411946270763,0.394453326635481,0.2527385337904435
834,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_891/log.csv,159719.78903604604,8173,159849.01871398743,0.3177702136203911,2942,0.37037745144212986,0.3379192959062783,0.2463182253053087
835,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_882/log.csv,159723.44886144498,13480,159867.3092005035,0.281140739821563,5755,0.3283767331380211,0.3476502059205997,0.2567347889378062
836,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_896/log.csv,159748.70889231708,9526,159860.41564883615,0.2636790111418906,6729,0.7568192542380353,1.5300390735543026,0.2840938166168659
837,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_912/log.csv,159391.0768750291,11865,159842.62698578235,0.3231959919035777,2485,0.3933688822353717,0.3784668104315578,0.2961902369029712
838,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_872/log.csv,159699.72254781076,3673,159834.1839042287,0.3050350657170537,15792,0.3827509398178437,0.3869123407946224,0.259772395367955
839,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_877/log.csv,159712.5317939332,12460,159865.88429303412,0.2829971355168679,1802,0.32921072307207827,0.3118245667887177,0.2574044446871539
840,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_832/log.csv,159387.62098643978,1058,159829.76854627393,0.3006720989801772,1043,0.3982742778940788,0.3038218096742309,0.2848253801948136
841,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_862/log.csv,159706.41787081628,10145,159829.4656395396,0.3092357979621766,2375,0.3644719672649127,0.3867156683549736,0.258427103267381
