,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_35/log.csv,5.114760590500067,0.2553260675656687,0.2158724510521201,0.2802738518916683,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_35/pdbs/173.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_32/log.csv,5.12006503442394,0.295147462573912,0.2157265606028008,0.2812101538775768,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_32/pdbs/176.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_63/log.csv,5.124594179771223,0.2240725223327776,0.21864284525609,0.2874051601063097,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_63/pdbs/138.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_28/log.csv,5.12097372435083,0.29521223322098,0.2154806084189696,0.2874323818828478,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_28/pdbs/189.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_29/log.csv,5.120002802440167,0.3310469644363227,0.2161900905570782,0.2858340303812853,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_29/pdbs/189.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_64/log.csv,5.1209160997482055,0.2835579245873876,0.2151558623564269,0.2814769485726728,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_64/pdbs/108.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_77/log.csv,5.123389236171135,0.3109779771182795,0.2156999278386721,0.2873932045477403,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_77/pdbs/132.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_66/log.csv,5.127504471968584,0.2452765220557215,0.217150009117316,0.2855560121342133,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_66/pdbs/143.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_65/log.csv,5.120270613218911,0.2745423285471993,0.2161670416350769,0.2858838832364038,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_65/pdbs/190.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_80/log.csv,5.12049613764824,0.3358937789966658,0.2162418021945773,0.2853714852432606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_80/pdbs/495.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_71/log.csv,5.124182922309865,0.2820220546230275,0.2160718692893466,0.2865559027258448,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_71/pdbs/80.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_72/log.csv,5.111252401379942,0.2698552072946943,0.2143603939976955,0.2801050133510673,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_72/pdbs/534.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_79/log.csv,5.120570219430944,0.2811964204993324,0.2154175462345448,0.2825532921008359,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_79/pdbs/124.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_74/log.csv,5.125581115416222,0.2477593551182073,0.2171453698298962,0.2845396665415504,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_74/pdbs/139.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_70/log.csv,5.11762750376928,0.2624140354426779,0.2149391173020486,0.2856890413752634,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_70/pdbs/165.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_38/log.csv,5.125009250153108,0.234527055136525,0.2173997938972584,0.2845349621241686,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_38/pdbs/195.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_36/log.csv,5.129540719565028,0.2416693238654231,0.2206684299471446,0.2851451540695693,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_36/pdbs/114.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_82/log.csv,5.119611471067625,0.2655259644259452,0.2159704237451481,0.2828155540215039,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_82/pdbs/182.pdb
