,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
8280,0.2672284369643888,2602.612000205414,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/8280.pdb,1.0,7mhk,1,5,57,"7mhf,7mhg,7mhh,7mhi,7mhk",,,,,,,,,,,,,,,,0.020228436964388807,-0.043878774002044985,2129.756581483928,"7mhf,7mhg,7mhh,7mhi,7mhk"
9558,0.3045176680574435,2887.4954614851627,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9558.pdb,1.0,7mhk,1,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.057517668057443516,-0.006589542908990276,2414.640042763677,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9640,0.2968664086566898,1303.8136801647092,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9640.pdb,0.4700771167317626,7mhf,2,1,0,7mhf,0.5299228832682373,,,,,,,,,,,,,,,0.07286640865668978,-0.01864756863421302,886.8288475670709,7mhf
9937,0.2794138249773522,1632.659766245419,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9937.pdb,0.5695483463054408,7mhf,2,2,6,"7mhf,7mhg",0.4304516536945592,,,,,,,,,,,,,,,0.05541382497735217,-0.036100152313550626,1215.6749336477806,"7mhf,7mhg"
11850,0.2915285582285999,1868.286900453439,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/11850.pdb,0.5753939443387958,7mhf,2,3,24,"7mhf,7mhg,7mhk",0.4246060556612042,,,,,,,,,,,,,,,0.0675285582285999,-0.023985419062302893,1451.3020678558007,"7mhf,7mhg,7mhk"
14805,0.2982108270126585,2664.448215872997,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/14805.pdb,0.6068001294473522,7mhf,2,4,43,"7mhf,7mhg,7mhh,7mhk",0.3931998705526479,,,,,,,,,,,,,,,0.07421082701265849,-0.017303150278244306,2247.463383275359,"7mhf,7mhg,7mhh,7mhk"
17691,0.3057691667511127,2271.0746218741338,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17691.pdb,0.2208496072722061,7mhf,2,5,57,"7mhf,7mhg,7mhh,7mhi,7mhk",0.779150392727794,,,,,,,,,,,,,,,0.0817691667511127,-0.009744810539790094,1854.0897892764954,"7mhf,7mhg,7mhh,7mhi,7mhk"
18912,0.3233148391458886,3963.84018108037,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18912.pdb,0.3857352360189777,7mhf,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.6142647639810223,,,,,,,,,,,,,,,0.0993148391458886,0.007800861854985797,3546.8553484827316,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9662,0.2743486681961505,917.5273758799316,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9662.pdb,0.4548598511559471,7mhg,2,1,1,7mhg,0.5451401488440528,,,,,,,,,,,,,,,0.06934866819615051,-0.019763837346884472,564.8130417940541,7mhg
9956,0.2705414057430417,1855.9615974859064,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9956.pdb,0.4118404615289202,7mhg,2,2,6,"7mhf,7mhg",0.5881595384710798,,,,,,,,,,,,,,,0.06554140574304171,-0.023571099799993278,1503.247263400029,"7mhf,7mhg"
11905,0.2690811391894697,2128.893108992695,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/11905.pdb,0.500860454730516,7mhg,2,3,24,"7mhf,7mhg,7mhk",0.499139545269484,,,,,,,,,,,,,,,0.0640811391894697,-0.025031366353565287,1776.1787749068176,"7mhf,7mhg,7mhk"
15260,0.2744869251016903,2309.9792438603404,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/15260.pdb,0.6386540094626697,7mhg,2,4,45,"7mhf,7mhg,7mhi,7mhk",0.3613459905373303,,,,,,,,,,,,,,,0.06948692510169033,-0.01962558044134466,1957.264909774463,"7mhf,7mhg,7mhi,7mhk"
17745,0.2892157246002053,3401.2405628355023,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17745.pdb,0.6536620987783514,7mhg,2,5,57,"7mhf,7mhg,7mhh,7mhi,7mhk",0.3463379012216487,,,,,,,,,,,,,,,0.0842157246002053,-0.004896780942829693,3048.526228749625,"7mhf,7mhg,7mhh,7mhi,7mhk"
18979,0.3042020125501951,4413.478242330422,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18979.pdb,0.3347499077884948,7mhg,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.6652500922115052,,,,,,,,,,,,,,,0.09920201255019509,0.010089507007160103,4060.763908244545,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9706,0.2856387578662194,1798.980976634835,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9706.pdb,0.5059514367794353,7mhh,2,1,2,7mhh,0.4940485632205647,,,,,,,,,,,,,,,0.03263875786621939,-0.0133373783055179,1338.3900631428114,7mhh
10923,0.2553408353192779,8094.454906503788,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/10923.pdb,0.5196538112847771,7mhh,2,2,16,"7mhh,7mhj",0.480346188715223,,,,,,,,,,,,,,,0.002340835319277923,-0.04363530085245937,7633.863993011764,"7mhh,7mhj"
12376,0.2746030798693804,3326.649361633532,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/12376.pdb,0.5627468659546463,7mhh,2,3,27,"7mhf,7mhh,7mhk",0.4372531340453537,,,,,,,,,,,,,,,0.02160307986938037,-0.02437305630235692,2866.058448141508,"7mhf,7mhh,7mhk"
17217,0.214348161593008,5708.943339924212,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17217.pdb,0.5016509745091249,7mhh,2,4,55,"7mhh,7mhi,7mhj,7mhk",0.4983490254908751,,,,,,,,,,,,,,,-0.03865183840699199,-0.08462797457872928,5248.352426432188,"7mhh,7mhi,7mhj,7mhk"
18468,0.2351143222723051,7861.858789972893,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18468.pdb,0.5443933061250377,7mhh,2,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.4556066938749623,,,,,,,,,,,,,,,-0.017885677727694893,-0.06386181389943218,7401.267876480869,"7mhf,7mhh,7mhi,7mhj,7mhk"
