,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd,xray_0_min_0_rmsd_avg,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_25/log.csv,3.709534682796395,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_25/pdbs/242.pdb,0.2078841964484844,0.0574731039992406,0.0669331426178
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_19/log.csv,3.920697149556631,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_19/pdbs/262.pdb,0.2016605451718536,0.0947465044940953,0.0852287226800159
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_13/log.csv,3.585844051415171,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_13/pdbs/322.pdb,0.2588686422090704,0.0776958446719193,0.0605787434063225
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_58/log.csv,3.57463311309717,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_58/pdbs/780.pdb,0.2374734078822947,0.0786559145264463,0.059014393695922
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_78/log.csv,3.827881410977021,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_78/pdbs/302.pdb,0.2417770612978783,0.0439473616591156,0.0775978172947674
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_66/log.csv,3.824579478609412,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_66/pdbs/402.pdb,0.2349726108483372,0.0512714989181915,0.0789204864751381
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_74/log.csv,3.872047242972557,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_74/pdbs/511.pdb,0.2361616157467139,0.1134263669946381,0.0821650405040965
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_87/log.csv,4.2192742531943725,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_87/pdbs/511.pdb,0.21564370375788,0.1009727583422469,0.1168300881061583
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_88/log.csv,3.5562510918094645,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_88/pdbs/601.pdb,0.2272546685322033,0.0940887048196622,0.0579049813714538
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_77/log.csv,4.169512225340237,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_77/pdbs/405.pdb,0.1951255291167161,0.0873495244166388,0.1083069319862808
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_80/log.csv,3.4518306923562747,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_80/pdbs/476.pdb,0.2534060105007414,0.0429022566131409,0.0530834243036469
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_81/log.csv,3.692268756019158,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_81/pdbs/387.pdb,0.2214460214647743,0.0995170009890124,0.0694207734181877
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_79/log.csv,3.841985911172576,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_79/pdbs/382.pdb,0.2545613548216284,0.0493216669686335,0.0816769576828507
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_83/log.csv,4.2007324628288645,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_83/pdbs/311.pdb,0.2258831491970098,0.0890787030283911,0.1126647042469276
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_86/log.csv,3.628110113216088,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_86/pdbs/381.pdb,0.247339034191555,0.0921431762584417,0.0651425305414775
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_84/log.csv,3.8059337791587695,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_84/pdbs/386.pdb,0.2170549461595574,0.0729824477891517,0.0752304696406987
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_82/log.csv,3.709922108787701,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_82/pdbs/385.pdb,0.2371081221411576,0.062641415082079,0.0707393346517746
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_76/log.csv,3.4517084326910634,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_76/pdbs/430.pdb,0.2242362014767448,0.0602091340779265,0.0524918975331379
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_72/log.csv,3.684469537040696,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_72/pdbs/516.pdb,0.2221838288918491,0.0588616301534347,0.0657119987868681
