,index,job_id,cif_name,w_0,pdb,r_free,ff,N,J,w_1,w_2,w_3,w_4,w_5,w_6,w_7,delta,job_cif_str
29607,10409,43,7mhf,0.3859134334086226,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/10409.pdb,0.3507629335083397,2151.695928862093,2,4,0.6140865665913775,,,,,,,0.1267629335083397,"7mhf,7mhg,7mhh,7mhk"
34891,15693,56,7mhf,0.6387896477256728,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/15693.pdb,0.3612280885300296,3075.460124788032,2,5,0.3612103522743273,,,,,,,0.13722808853002957,"7mhf,7mhg,7mhh,7mhi,7mhj"
37830,18632,62,7mhf,0.7093427514282112,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/18632.pdb,0.3609265748577246,3558.923202818968,2,6,0.2906572485717887,,,,,,,0.1369265748577246,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
38902,504,5,7mhk,0.1769410800768124,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/504.pdb,0.2938727765195379,1693.524220804797,4,1,0.5392176646713764,0.1662512792410382,0.1175899760107728,,,,,0.04687277651953792,7mhk
41700,3302,19,7mhk,0.3280560422728855,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/3302.pdb,0.2582174444883249,3946.701817500495,4,2,0.2888193368043253,0.2914265507642067,0.0916980701585825,,,,,0.011217444488324901,"7mhi,7mhk"
46492,8094,35,7mhk,0.3134295529287151,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/8094.pdb,0.2536671648564952,4190.352680704109,4,3,0.3053821923224599,0.2826701131841141,0.0985181415647109,,,,,0.006667164856495211,"7mhg,7mhi,7mhk"
52732,14334,52,7mhk,0.3144567089203803,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/14334.pdb,0.2431096010639035,9940.660256784326,4,4,0.2913550679550691,0.2994145828296773,0.0947736402948731,,,,,-0.0038903989360964952,"7mhg,7mhh,7mhi,7mhk"
56911,18513,61,7mhk,0.3322259760259407,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/18513.pdb,0.2505521477661631,7380.189142498836,4,5,0.2922632158731875,0.2849037628908125,0.0906070452100593,,,,,0.003552147766163083,"7mhg,7mhh,7mhi,7mhj,7mhk"
57579,19181,62,7mhk,0.3017163251093158,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/19181.pdb,0.2624075780937128,8886.49677875268,4,6,0.3011339548952572,0.2992260202571333,0.0979236997382937,,,,,0.015407578093712793,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
38803,405,4,7mhj,0.3188990454062591,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/405.pdb,0.2955453817171027,2668.66524737736,4,1,0.3789260862975787,0.2435271152714346,0.0586477530247276,,,,,0.055545381717102715,7mhj
41565,3167,18,7mhj,0.2943653561105478,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/3167.pdb,0.2352860085540171,4109.430675830562,4,2,0.2680748790751615,0.3350128039890547,0.102546960825236,,,,,-0.00471399144598289,"7mhi,7mhj"
47061,8663,37,7mhj,0.2335990808531747,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/8663.pdb,0.2251661383917559,5154.327233521403,4,3,0.3008414871497645,0.3654439255348386,0.1001155064622221,,,,,-0.014833861608244098,"7mhh,7mhi,7mhj"
53833,15435,55,7mhj,0.3153889494021839,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/15435.pdb,0.2298864985806422,6044.545449492747,4,4,0.3034155814008592,0.2829213921432879,0.098274077053669,,,,,-0.010113501419357795,"7mhh,7mhi,7mhj,7mhk"
56302,17904,60,7mhj,0.3503697428886659,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/17904.pdb,0.2338214690617068,6553.537339957442,4,5,0.2263134697764989,0.3392665336944354,0.0840502536403995,,,,,-0.006178530938293181,"7mhf,7mhh,7mhi,7mhj,7mhk"
57490,19092,62,7mhj,0.3326623017326776,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/19092.pdb,0.2375805868161568,17012.214849195418,4,6,0.2437221195648599,0.3168334993421661,0.1067820793602964,,,,,-0.0024194131838432,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
38719,321,3,7mhi,0.3985694220722237,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/321.pdb,0.2798936061529227,2544.654485731293,4,1,0.2521463613246231,0.2496521052784191,0.0996321113247339,,,,,0.05189360615292268,7mhi
41405,3007,18,7mhi,0.3133282243860524,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/3007.pdb,0.236197600238769,3877.733487799441,4,2,0.296797398973293,0.2801038502803926,0.109770526360262,,,,,0.008197600238769004,"7mhi,7mhj"
46928,8530,37,7mhi,0.2671127464012032,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/8530.pdb,0.2155362656812561,5167.992927073698,4,3,0.3350412421724287,0.3056809604133098,0.0921650510130582,,,,,-0.012463734318743896,"7mhh,7mhi,7mhj"
53714,15316,55,7mhi,0.2855964403691712,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/15316.pdb,0.2184372818332444,6421.1682289738565,4,4,0.3607430411986032,0.2730764288590055,0.0805840895732201,,,,,-0.009562718166755607,"7mhh,7mhi,7mhj,7mhk"
56752,18354,61,7mhi,0.2779445088892088,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/18354.pdb,0.2205580792171517,7580.101093835178,4,5,0.3162160887651413,0.3014088788735276,0.1044305234721223,,,,,-0.007441920782848305,"7mhg,7mhh,7mhi,7mhj,7mhk"
57337,18939,62,7mhi,0.2634253993855897,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/18939.pdb,0.2313707562317948,10511.734268031423,4,6,0.3035705005573256,0.3402309749331332,0.0927731251239514,,,,,0.0033707562317947803,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
38604,206,2,7mhh,0.4029018882832849,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/206.pdb,0.2842548736008787,1155.464128420375,4,1,0.1341873302930345,0.276591964220826,0.1863188172028545,,,,,0.031254873600878696,7mhh
40877,2479,15,7mhh,0.3158084949654243,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/2479.pdb,0.2367097944988309,4385.924565436391,4,2,0.2977146464234453,0.2960446268072192,0.090432231803911,,,,,-0.016290205501169108,"7mhh,7mhi"
46826,8428,37,7mhh,0.3002868322623844,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/8428.pdb,0.2278738929795405,5115.457670177648,4,3,0.3022441911842636,0.3131810901414676,0.0842878864118842,,,,,-0.025126107020459504,"7mhh,7mhi,7mhj"
52145,13747,51,7mhh,0.297138805634059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/13747.pdb,0.231055582015888,9732.292659550663,4,4,0.3202745100710806,0.3016444485486165,0.0809422357462438,,,,,-0.021944417984112008,"7mhg,7mhh,7mhi,7mhj"
56613,18215,61,7mhh,0.3697903431307647,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/18215.pdb,0.2354302738462056,7336.136417537518,4,5,0.2650731820766862,0.2753138370312823,0.0898226377612668,,,,,-0.0175697261537944,"7mhg,7mhh,7mhi,7mhj,7mhk"
57210,18812,62,7mhh,0.2134535829761995,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/18812.pdb,0.2434456760904965,7695.462463520194,4,6,0.3908033077322467,0.3114972222384664,0.0842458870530873,,,,,-0.009554323909503504,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
38546,148,1,7mhg,0.4308828065611932,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/148.pdb,0.3504012992084053,2327.1383495955274,4,1,0.3542962566087498,0.1368040770092218,0.0780168598208351,,,,,0.1454012992084053,7mhg
40603,2205,14,7mhg,0.3604599454688691,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4_ref_15/2205.pdb,0.3401026828517177,3260.80354490413,4,2,0.1733901368060472,0.3699806549631153,0.0961692627619683,,,,,0.1351026828517177,"7mhg,7mhk"
