,state_id,job_id,w_xray_id,field,r_free_7mhf,ff,pdb,r_free_7mhg,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,w_xray,N
1027,1.0,30.0,4.0,0.8687036052181243,0.3393706357987199,13444.680185510948,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J30_W4/output_3/pdbs/264.pdb,,,,0.2717194120243288,0.2576135573950756,0.5,2
1039,1.0,31.0,5.0,0.7763327957450831,,195050.3306343154,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J31_W5/output_0/pdbs/18.pdb,0.3583094485484708,0.2045812573350887,0.2134420898615236,,,1.0,2
1050,1.0,32.0,5.0,0.8387171788096541,,584343.8806768109,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J32_W5/output_4/pdbs/299.pdb,0.398654577918596,0.1979395446199402,,0.2421230562711179,,1.0,2
1060,1.0,33.0,4.0,0.8328624205661852,,13830.648232075744,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J33_W4/output_2/pdbs/289.pdb,0.3066721655903206,0.2605038735470086,,,0.265686381428856,0.5,2
1072,1.0,34.0,5.0,0.8206484402637564,,439556.4057610359,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J34_W5/output_0/pdbs/298.pdb,0.3937798091854352,,0.1861394795465895,0.2407291515317317,,1.0,2
1082,1.0,35.0,4.0,0.8021474923216045,,14030.965873282652,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J35_W4/output_1/pdbs/151.pdb,0.3092941730371828,,0.2447921146065143,,0.2480612046779074,0.5,2
1093,1.0,36.0,4.0,0.8424382462711775,,13206.065972990797,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J36_W4/output_1/pdbs/177.pdb,0.3045926422452231,,,0.2799140586335316,0.2579315453924228,0.5,2
1105,1.0,37.0,5.0,0.5337432348153534,,434578.3591814388,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J37_W5/output_2/pdbs/95.pdb,,0.1770832450539589,0.1673710399641509,0.1892889497972435,,1.0,2
1116,1.0,38.0,5.0,0.6544486898951928,,672242.291220762,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J38_W5/output_0/pdbs/283.pdb,,0.1990401337782276,0.204728970129961,,0.2506795859870042,1.0,2
1127,1.0,39.0,5.0,0.7125023248385788,,247742.77996282344,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J39_W5/output_0/pdbs/21.pdb,,0.2151116247070403,,0.2320231133454541,0.2653675867860844,1.0,2
1138,1.0,40.0,5.0,0.6851154636055952,,391053.8849940297,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J40_W5/output_1/pdbs/53.pdb,,,0.1973299542839105,0.2256695587198142,0.2621159506018705,1.0,2
1148,1.0,41.0,4.0,1.10848525358635,0.3176991180766869,17409.36015249176,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J41_W4/output_1/pdbs/225.pdb,0.2903069462960203,0.2516806200374391,0.2487985691762035,,,0.5,2
1159,1.0,42.0,4.0,1.115040047883748,0.309488778753373,17402.781608093355,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J42_W4/output_2/pdbs/209.pdb,0.2879843360784734,0.2508624324330569,,0.2667045006188448,,0.5,2
1170,1.0,43.0,4.0,1.1268530047447438,0.3086848152845975,16099.911835838946,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J43_W4/output_3/pdbs/162.pdb,0.2877597531828349,0.2656216796591521,,,0.2647867566181591,0.5,2
1181,1.0,44.0,4.0,1.1300364029470835,0.3250496803833485,19019.07560092169,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J44_W4/output_1/pdbs/172.pdb,0.2926370045689128,,0.2482727063420867,0.2640770116527355,,0.5,2
